Date,Open,High,Low,Close,Adj Close,Volume
2015-11-17,8.055000,8.120000,7.844000,7.849000,7.849000,15873998
2015-11-18,7.876000,7.927000,7.705000,7.729000,7.729000,10786631
2015-11-19,7.680000,7.985000,7.680000,7.979000,7.979000,21487514
2015-11-20,7.980000,8.068000,7.950000,8.048000,8.048000,14470942
2015-11-23,8.022000,8.122000,7.950000,7.960000,7.960000,32759976
2015-11-24,7.960000,8.058000,7.850000,8.055000,8.055000,19316973
2015-11-25,8.053000,8.170000,8.020000,8.167000,8.167000,16916152
2015-11-26,8.192000,8.208000,8.080000,8.092000,8.092000,10815915
2015-11-27,8.037000,8.089000,7.489000,7.608000,7.608000,40070844
2015-11-30,7.581000,7.718000,7.231000,7.601000,7.601000,25571709
2015-12-01,7.592000,7.750000,7.525000,7.651000,7.651000,17639136
2015-12-02,7.666000,7.666000,7.370000,7.654000,7.654000,33654026
2015-12-03,7.650000,7.790000,7.600000,7.785000,7.785000,18546463
2015-12-04,7.764000,7.805000,7.630000,7.685000,7.685000,18912059
2015-12-07,7.700000,7.830000,7.651000,7.814000,7.814000,18857099
2015-12-08,7.752000,7.755000,7.600000,7.626000,7.626000,12121292
2015-12-09,7.618000,7.650000,7.531000,7.566000,7.566000,10697555
2015-12-10,7.570000,7.679000,7.515000,7.539000,7.539000,10957900
2015-12-11,7.508000,7.546000,7.453000,7.489000,7.489000,11816956
2015-12-14,7.445000,7.674000,7.410000,7.655000,7.655000,21258458
2015-12-15,7.665000,7.751000,7.650000,7.678000,7.678000,15747684
2015-12-16,7.714000,7.805000,7.710000,7.740000,7.740000,13477422
2015-12-17,7.799000,7.965000,7.760000,7.964000,7.964000,16583989
2015-12-18,7.960000,7.981000,7.865000,7.912000,7.912000,17054756
2015-12-21,7.879000,8.030000,7.860000,8.023000,8.023000,16848000
2015-12-22,8.016000,8.100000,7.973000,8.094000,8.094000,7393733
2015-12-23,8.080000,8.100000,7.961000,7.988000,7.988000,8400873
2015-12-24,7.995000,8.010000,7.864000,7.990000,7.990000,9098376
2015-12-25,7.985000,8.036000,7.954000,8.025000,8.025000,9090821
2015-12-28,8.015000,8.074000,7.825000,7.832000,7.832000,12519548
2015-12-29,7.790000,7.922000,7.776000,7.915000,7.915000,14997300
2015-12-30,7.914000,7.988000,7.901000,7.976000,7.976000,15450566
2015-12-31,7.998000,7.998000,7.835000,7.838000,7.838000,10984539
2016-01-04,7.809000,7.850000,7.173000,7.192000,7.192000,22560728
2016-01-05,6.853000,7.441000,6.840000,7.122000,7.122000,60764521
2016-01-06,7.091000,7.278000,7.073000,7.272000,7.272000,28961012
2016-01-07,7.131000,7.200000,6.600000,6.622000,6.622000,3397730
2016-01-08,6.819000,6.900000,6.400000,6.753000,6.753000,44946123
2016-01-11,6.575000,6.720000,6.310000,6.319000,6.319000,37932383
2016-01-12,6.375000,6.400000,6.187000,6.309000,6.309000,43918365
2016-01-13,6.340000,6.420000,6.110000,6.113000,6.113000,26685877
2016-01-14,5.990000,6.320000,5.895000,6.318000,6.318000,37536414
2016-01-15,6.275000,6.318000,6.020000,6.075000,6.075000,44137100
2016-01-18,5.977000,6.228000,5.910000,6.162000,6.162000,32706929
2016-01-19,6.131000,6.778000,6.118000,6.359000,6.359000,50602061
2016-01-20,6.346000,6.429000,6.206000,6.307000,6.307000,25711243
2016-01-21,6.195000,6.918000,6.080000,6.090000,6.090000,40178017
2016-01-22,6.106000,6.333000,5.990000,6.170000,6.170000,29973387
2016-01-25,6.209000,6.294000,6.153000,6.216000,6.216000,21971408
2016-01-26,6.168000,6.170000,5.732000,5.833000,5.833000,72010164
2016-01-27,5.828000,5.833000,5.426000,5.690000,5.690000,75295829
2016-01-28,5.623000,5.689000,5.435000,5.452000,5.452000,30854946
